serum,virus,replicate,concentration,well_id,plate_name,experiment_rep,fraction infectivity,input_folder
86_1,RSV B 2024,1,1.143e-05,D9,V4P2,RSV_Historical_Sera_2,0.8235,24.10.17_RSVNeut_Sera_Evo2
86_1,RSV B 2024,1,3.81e-06,D10,V4P2,RSV_Historical_Sera_2,0.7216,24.10.17_RSVNeut_Sera_Evo2
86_1,RSV B 2024,2,0.025,E2,V4P2,RSV_Historical_Sera_2,0.0007216,24.10.17_RSVNeut_Sera_Evo2
86_1,RSV B 2024,2,0.008333,E3,V4P2,RSV_Historical_Sera_2,0.02435,24.10.17_RSVNeut_Sera_Evo2
86_1,RSV B 2024,2,0.002778,E4,V4P2,RSV_Historical_Sera_2,0.04199,24.10.17_RSVNeut_Sera_Evo2
86_1,RSV B 2024,2,0.0009259,E5,V4P2,RSV_Historical_Sera_2,0.177,24.10.17_RSVNeut_Sera_Evo2
86_1,RSV B 2024,2,0.0003086,E6,V4P2,RSV_Historical_Sera_2,0.3234,24.10.17_RSVNeut_Sera_Evo2
86_1,RSV B 2024,2,0.0001029,E7,V4P2,RSV_Historical_Sera_2,0.5787,24.10.17_RSVNeut_Sera_Evo2
86_1,RSV B 2024,2,3.429e-05,E8,V4P2,RSV_Historical_Sera_2,0.7061,24.10.17_RSVNeut_Sera_Evo2
86_1,RSV B 2024,2,1.143e-05,E9,V4P2,RSV_Historical_Sera_2,0.9331,24.10.17_RSVNeut_Sera_Evo2
86_1,RSV B 2024,2,3.81e-06,E10,V4P2,RSV_Historical_Sera_2,0.9045,24.10.17_RSVNeut_Sera_Evo2
86_2,RSV B 2024,1,0.025,B2,V4P2,RSV_Historical_Sera_2,0.0007743,24.10.17_RSVNeut_Sera_Evo2
86_2,RSV B 2024,1,0.008333,B3,V4P2,RSV_Historical_Sera_2,0.01577,24.10.17_RSVNeut_Sera_Evo2
86_2,RSV B 2024,1,0.002778,B4,V4P2,RSV_Historical_Sera_2,0.0913,24.10.17_RSVNeut_Sera_Evo2
86_2,RSV B 2024,1,0.0009259,B5,V4P2,RSV_Historical_Sera_2,0.3702,24.10.17_RSVNeut_Sera_Evo2
86_2,RSV B 2024,1,0.0003086,B6,V4P2,RSV_Historical_Sera_2,0.6341,24.10.17_RSVNeut_Sera_Evo2
86_2,RSV B 2024,1,0.0001029,B7,V4P2,RSV_Historical_Sera_2,0.9564,24.10.17_RSVNeut_Sera_Evo2
86_2,RSV B 2024,1,3.429e-05,B8,V4P2,RSV_Historical_Sera_2,0.9474,24.10.17_RSVNeut_Sera_Evo2
86_2,RSV B 2024,1,1.143e-05,B9,V4P2,RSV_Historical_Sera_2,1.13,24.10.17_RSVNeut_Sera_Evo2
86_2,RSV B 2024,1,3.81e-06,B10,V4P2,RSV_Historical_Sera_2,1.095,24.10.17_RSVNeut_Sera_Evo2
86_2,RSV B 2024,2,0.025,C2,V4P2,RSV_Historical_Sera_2,0.002702,24.10.17_RSVNeut_Sera_Evo2
86_2,RSV B 2024,2,0.008333,C3,V4P2,RSV_Historical_Sera_2,0.007828,24.10.17_RSVNeut_Sera_Evo2
86_2,RSV B 2024,2,0.002778,C4,V4P2,RSV_Historical_Sera_2,0.05179,24.10.17_RSVNeut_Sera_Evo2
86_2,RSV B 2024,2,0.0009259,C5,V4P2,RSV_Historical_Sera_2,0.2519,24.10.17_RSVNeut_Sera_Evo2
86_2,RSV B 2024,2,0.0003086,C6,V4P2,RSV_Historical_Sera_2,0.6097,24.10.17_RSVNeut_Sera_Evo2
86_2,RSV B 2024,2,0.0001029,C7,V4P2,RSV_Historical_Sera_2,0.8165,24.10.17_RSVNeut_Sera_Evo2
86_2,RSV B 2024,2,3.429e-05,C8,V4P2,RSV_Historical_Sera_2,0.7669,24.10.17_RSVNeut_Sera_Evo2
86_2,RSV B 2024,2,1.143e-05,C9,V4P2,RSV_Historical_Sera_2,0.9327,24.10.17_RSVNeut_Sera_Evo2
86_2,RSV B 2024,2,3.81e-06,C10,V4P2,RSV_Historical_Sera_2,0.8971,24.10.17_RSVNeut_Sera_Evo2
86_4,RSV B 2024,1,0.025,F2,V4P3,RSV_Historical_Sera_2,0.0006818,24.10.17_RSVNeut_Sera_Evo2
86_4,RSV B 2024,1,0.008333,F3,V4P3,RSV_Historical_Sera_2,0.002061,24.10.17_RSVNeut_Sera_Evo2
86_4,RSV B 2024,1,0.002778,F4,V4P3,RSV_Historical_Sera_2,0.01324,24.10.17_RSVNeut_Sera_Evo2
86_4,RSV B 2024,1,0.0009259,F5,V4P3,RSV_Historical_Sera_2,0.09449,24.10.17_RSVNeut_Sera_Evo2
86_4,RSV B 2024,1,0.0003086,F6,V4P3,RSV_Historical_Sera_2,0.2745,24.10.17_RSVNeut_Sera_Evo2
86_4,RSV B 2024,1,0.0001029,F7,V4P3,RSV_Historical_Sera_2,0.5504,24.10.17_RSVNeut_Sera_Evo2
86_4,RSV B 2024,1,3.429e-05,F8,V4P3,RSV_Historical_Sera_2,0.7439,24.10.17_RSVNeut_Sera_Evo2
86_4,RSV B 2024,1,1.143e-05,F9,V4P3,RSV_Historical_Sera_2,0.7722,24.10.17_RSVNeut_Sera_Evo2
86_4,RSV B 2024,1,3.81e-06,F10,V4P3,RSV_Historical_Sera_2,0.9359,24.10.17_RSVNeut_Sera_Evo2
86_4,RSV B 2024,2,0.025,G2,V4P3,RSV_Historical_Sera_2,0.0006032,24.10.17_RSVNeut_Sera_Evo2
86_4,RSV B 2024,2,0.008333,G3,V4P3,RSV_Historical_Sera_2,0.001194,24.10.17_RSVNeut_Sera_Evo2
86_4,RSV B 2024,2,0.002778,G4,V4P3,RSV_Historical_Sera_2,0.00342,24.10.17_RSVNeut_Sera_Evo2
86_4,RSV B 2024,2,0.0009259,G5,V4P3,RSV_Historical_Sera_2,0.1137,24.10.17_RSVNeut_Sera_Evo2
86_4,RSV B 2024,2,0.0003086,G6,V4P3,RSV_Historical_Sera_2,0.4161,24.10.17_RSVNeut_Sera_Evo2
86_4,RSV B 2024,2,0.0001029,G7,V4P3,RSV_Historical_Sera_2,0.5776,24.10.17_RSVNeut_Sera_Evo2
