date,BEI or IntRef,serum,virus,replicate,concentration,fraction infectivity
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,3,2.44141E-06,0.892987891
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,3,6.10352E-07,0.980850465
24.10.31,BEI,BEI Low Control NR-4023,RSV A2 R1,3,1.52588E-07,1.148127288
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,1,0.01,0.000174054
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,1,0.0025,0.000255928
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,1,0.000625,0.000655422
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,1,0.00015625,0.10703755
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,1,3.90625E-05,0.321341667
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,1,9.76563E-06,0.513717258
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,1,2.44141E-06,1.074526456
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,1,6.10352E-07,0.934252588
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,1,1.52588E-07,0.93840355
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,2,0.01,0.000222148
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,2,0.0025,0.00019853
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,2,0.000625,0.000377022
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,2,0.00015625,0.033694356
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,2,3.90625E-05,0.334080824
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,2,9.76563E-06,0.869984255
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,2,2.44141E-06,0.804857102
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,2,6.10352E-07,0.888878286
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,2,1.52588E-07,1.175294623
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,3,0.01,0.000145856
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,3,0.0025,0.000231595
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,3,0.000625,0.000164607
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,3,0.00015625,0.043470585
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,3,3.90625E-05,0.331361229
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,3,9.76563E-06,0.648265662
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,3,2.44141E-06,0.925091846
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,3,6.10352E-07,1.062646119
24.11.01,IntRef,BEI High Control NR-4021 ,RSV A2 R2,3,1.52588E-07,0.847511809
25.01.24,BEI,BEI Medium Control NR-4022,RSV A2 R2,1,0.01,0.001013387
25.01.24,BEI,BEI Medium Control NR-4022,RSV A2 R2,1,0.0025,0.003550507
25.01.24,BEI,BEI Medium Control NR-4022,RSV A2 R2,1,0.000625,0.237890467
25.01.24,BEI,BEI Medium Control NR-4022,RSV A2 R2,1,0.00015625,0.576551724
25.01.24,BEI,BEI Medium Control NR-4022,RSV A2 R2,1,3.90625E-05,0.956592292
25.01.24,BEI,BEI Medium Control NR-4022,RSV A2 R2,1,9.76563E-06,1.036916836
25.01.24,BEI,BEI Medium Control NR-4022,RSV A2 R2,1,2.44141E-06,1.01663286
25.01.24,BEI,BEI Medium Control NR-4022,RSV A2 R2,1,6.10352E-07,0.918458418
25.01.24,BEI,BEI Medium Control NR-4022,RSV A2 R2,1,1.52588E-07,0.963894523
25.01.24,BEI,BEI Medium Control NR-4022,RSV A2 R2,2,0.01,0.001776065
25.01.24,BEI,BEI Medium Control NR-4022,RSV A2 R2,2,0.0025,0.006281542
25.01.24,BEI,BEI Medium Control NR-4022,RSV A2 R2,2,0.000625,0.262150101
25.01.24,BEI,BEI Medium Control NR-4022,RSV A2 R2,2,0.00015625,0.562352941
25.01.24,BEI,BEI Medium Control NR-4022,RSV A2 R2,2,3.90625E-05,0.992292089
25.01.24,BEI,BEI Medium Control NR-4022,RSV A2 R2,2,9.76563E-06,1.151318458
25.01.24,BEI,BEI Medium Control NR-4022,RSV A2 R2,2,2.44141E-06,1.17484787
25.01.24,BEI,BEI Medium Control NR-4022,RSV A2 R2,2,6.10352E-07,1.052332657
25.01.24,BEI,BEI Medium Control NR-4022,RSV A2 R2,2,1.52588E-07,0.867342799
25.01.24,BEI,BEI Low Control NR-4023,RSV A2 R2,1,0.01,0.001340365
25.01.24,BEI,BEI Low Control NR-4023,RSV A2 R2,1,0.0025,0.016454361
25.01.24,BEI,BEI Low Control NR-4023,RSV A2 R2,1,0.000625,0.097281947
25.01.24,BEI,BEI Low Control NR-4023,RSV A2 R2,1,0.00015625,0.596754564
25.01.24,BEI,BEI Low Control NR-4023,RSV A2 R2,1,3.90625E-05,0.923326572
25.01.24,BEI,BEI Low Control NR-4023,RSV A2 R2,1,9.76563E-06,0.979310345
25.01.24,BEI,BEI Low Control NR-4023,RSV A2 R2,1,2.44141E-06,1.006896552
25.01.24,BEI,BEI Low Control NR-4023,RSV A2 R2,1,6.10352E-07,1.029614604
25.01.24,BEI,BEI Low Control NR-4023,RSV A2 R2,1,1.52588E-07,0.982555781
25.01.24,BEI,BEI Low Control NR-4023,RSV A2 R2,2,0.01,0.004353753
25.01.24,BEI,BEI Low Control NR-4023,RSV A2 R2,2,0.0025,0.006281542
25.01.24,BEI,BEI Low Control NR-4023,RSV A2 R2,2,0.000625,0.117809331
25.01.24,BEI,BEI Low Control NR-4023,RSV A2 R2,2,0.00015625,0.523894523
25.01.24,BEI,BEI Low Control NR-4023,RSV A2 R2,2,3.90625E-05,0.73801217
25.01.24,BEI,BEI Low Control NR-4023,RSV A2 R2,2,9.76563E-06,1.011764706
25.01.24,BEI,BEI Low Control NR-4023,RSV A2 R2,2,2.44141E-06,1.059634888
25.01.24,BEI,BEI Low Control NR-4023,RSV A2 R2,2,6.10352E-07,1.054766734
25.01.24,BEI,BEI Low Control NR-4023,RSV A2 R2,2,1.52588E-07,1.019878296
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,1,0.01,0.001450775
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,1,0.0025,0.0005291
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,1,0.000625,0.024871891
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,1,0.00015625,0.1769437
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,1,3.90625E-05,0.607696746
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,1,9.76563E-06,0.675603217
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,1,2.44141E-06,0.837275596
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,1,6.10352E-07,0.914243052
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,1,1.52588E-07,0.850001697
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,2,0.01,0.00041935
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,2,0.0025,0.000598534
24.11.01,IntRef,BEI High Control NR-4021 ,RSV B1 R1,2,0.000625,0.015098245
